ID;Localized Name
nob;Norsk (bokmål)
nno;Norsk (nynorsk)
amh;አማርኛ
ben;বাঙালি
khm;ភាសាខ្មែរ
hin;हिंदी
mar;मराठी
nep;नेपाली
xho;isiXhosa
swa;Kiswahili
